user_id,age,sex,user_lv_cd,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,buy_addcart_ratio,buy_browse_ratio,buy_click_ratio,buy_favor_ratio
200001,6.0,2.0,5,212.0,22.0,13.0,1.0,0.0,414.0,0.045454545454545456,0.0047169811320754715,0.0024154589371980675,1.0
200005,2.0,0.0,4,106.0,2.0,3.0,1.0,2.0,161.0,0.5,0.009433962264150943,0.006211180124223602,0.5
200014,3.0,2.0,4,468.0,29.0,14.0,2.0,0.0,645.0,0.06896551724137931,0.004273504273504274,0.0031007751937984496,1.0
200015,3.0,1.0,3,1261.0,15.0,4.0,1.0,3.0,1979.0,0.06666666666666668,0.0007930214115781126,0.0005053057099545224,0.3333333333333333
200017,4.0,2.0,4,114.0,0.0,0.0,4.0,0.0,187.0,1.0,0.03508771929824561,0.0213903743315508,1.0
200020,-1.0,2.0,2,27.0,0.0,0.0,1.0,0.0,91.0,1.0,0.037037037037037035,0.01098901098901099,1.0
200028,2.0,2.0,4,313.0,20.0,7.0,1.0,0.0,403.0,0.05,0.003194888178913738,0.0024813895781637717,1.0
200032,4.0,2.0,4,704.0,39.0,5.0,1.0,3.0,849.0,0.02564102564102564,0.0014204545454545455,0.001177856301531213,0.3333333333333333
200033,4.0,2.0,5,213.0,5.0,2.0,2.0,4.0,467.0,0.4,0.009389671361502348,0.004282655246252678,0.5
200034,3.0,2.0,4,24.0,1.0,0.0,1.0,0.0,36.0,1.0,0.04166666666666666,0.027777777777777776,1.0
200037,3.0,2.0,5,68.0,8.0,1.0,1.0,0.0,171.0,0.125,0.014705882352941175,0.005847953216374269,1.0
200038,3.0,0.0,5,1245.0,9.0,3.0,2.0,7.0,1751.0,0.2222222222222222,0.0016064257028112448,0.001142204454597373,0.2857142857142857
200043,4.0,2.0,3,160.0,1.0,1.0,1.0,0.0,266.0,1.0,0.00625,0.003759398496240601,1.0
200049,4.0,2.0,3,58.0,1.0,0.0,1.0,0.0,67.0,1.0,0.017241379310344827,0.01492537313432836,1.0
200053,3.0,2.0,4,465.0,5.0,0.0,4.0,0.0,633.0,0.8,0.008602150537634409,0.00631911532385466,1.0
200054,2.0,2.0,5,594.0,5.0,5.0,1.0,1.0,703.0,0.2,0.0016835016835016836,0.001422475106685633,1.0
200055,4.0,0.0,3,607.0,6.0,6.0,1.0,0.0,866.0,0.16666666666666666,0.0016474464579901151,0.0011547344110854505,1.0
200059,3.0,2.0,5,141.0,12.0,10.0,2.0,0.0,275.0,0.16666666666666666,0.014184397163120569,0.007272727272727274,1.0
200062,3.0,2.0,4,102.0,1.0,0.0,1.0,4.0,146.0,1.0,0.00980392156862745,0.00684931506849315,0.25
200067,4.0,2.0,2,54.0,1.0,0.0,1.0,0.0,95.0,1.0,0.018518518518518517,0.010526315789473684,1.0
200074,-1.0,2.0,5,44.0,3.0,3.0,1.0,0.0,68.0,0.3333333333333333,0.022727272727272728,0.014705882352941175,1.0
200077,3.0,2.0,5,198.0,17.0,2.0,10.0,0.0,400.0,0.5882352941176471,0.0505050505050505,0.025,1.0
